scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.6,1,easy,restaurant,13,16,True,5.0,9,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",52.386
easy_01,claude-sonnet-4.6,2,easy,restaurant,13,16,True,5.0,9,3,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",53.093
easy_01,claude-sonnet-4.6,3,easy,restaurant,13,16,True,5.0,9,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",47.948
easy_02,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,6,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",52.075
easy_02,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,6,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",42.672
easy_02,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,6,6,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",42.275
easy_03,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,6,5,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",47.04
easy_03,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,6,4,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",58.816
easy_03,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,6,6,"[""PREMATURE_COMMIT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE""]",45.018
easy_04,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,12,3,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",37.596
easy_04,claude-sonnet-4.6,2,easy,restaurant,13,16,True,5.0,10,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",46.221
easy_04,claude-sonnet-4.6,3,easy,restaurant,13,16,True,5.0,10,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",52.686
easy_05,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,15,2,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",91.658
easy_05,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,10,3,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",77.619
easy_05,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,10,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",89.371
easy_06,claude-sonnet-4.6,1,easy,restaurant,13,16,True,7.0,9,4,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",101.626
easy_06,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,10,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",90.207
easy_06,claude-sonnet-4.6,3,easy,restaurant,13,16,True,10.0,14,3,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",89.747
flight_easy_01,claude-sonnet-4.6,1,easy,flight,13,16,True,10.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",35.534
flight_easy_01,claude-sonnet-4.6,2,easy,flight,13,16,True,10.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",39.774
flight_easy_01,claude-sonnet-4.6,3,easy,flight,13,22,False,,14,9,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",79.001
flight_easy_02,claude-sonnet-4.6,1,easy,flight,13,17,True,10.0,12,4,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",48.101
flight_easy_02,claude-sonnet-4.6,2,easy,flight,13,17,True,11.0,9,5,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",43.821
flight_easy_02,claude-sonnet-4.6,3,easy,flight,13,17,True,12.0,15,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",42.089
flight_easy_03,claude-sonnet-4.6,1,easy,flight,13,17,True,11.0,15,3,"[""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",44.947
flight_easy_03,claude-sonnet-4.6,2,easy,flight,13,19,True,10.0,12,8,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",47.864
flight_easy_03,claude-sonnet-4.6,3,easy,flight,13,18,True,11.0,10,4,"[""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",43.81
flight_easy_04,claude-sonnet-4.6,1,easy,flight,13,16,True,11.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",65.831
flight_easy_04,claude-sonnet-4.6,2,easy,flight,13,16,True,11.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",50.13
flight_easy_04,claude-sonnet-4.6,3,easy,flight,13,16,True,11.0,9,4,"[""PARAM_DRIFT"", ""PARAM_DRIFT"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE""]",48.919
medium_01,claude-sonnet-4.6,1,medium,restaurant,13,17,True,,12,5,"[""PARAM_DRIFT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",68.292
medium_01,claude-sonnet-4.6,2,medium,restaurant,13,17,True,12.0,12,5,"[""PREMATURE_COMMIT"", ""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",63.54
medium_01,claude-sonnet-4.6,3,medium,restaurant,13,17,True,,14,4,"[""MEMORY_COLLAPSE"", ""CONSTRAINT_IGNORE"", ""CONSTRAINT_IGNORE"", ""MEMORY_COLLAPSE""]",64.838
