scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.5,1,easy,restaurant,12,15,True,5.0,,0,[],39.198
easy_02,claude-sonnet-4.5,1,easy,restaurant,12,15,True,7.0,,0,[],37.16
easy_03,claude-sonnet-4.5,1,easy,restaurant,12,15,True,6.0,,0,[],29.588
easy_04,claude-sonnet-4.5,1,easy,restaurant,11,14,True,5.0,,0,[],32.562
easy_05,claude-sonnet-4.5,1,easy,restaurant,15,18,True,7.0,,0,[],50.15
easy_06,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,,0,[],39.639
flight_easy_01,claude-sonnet-4.5,1,easy,flight,14,17,True,10.0,,0,[],48.242
flight_easy_02,claude-sonnet-4.5,1,easy,flight,14,18,True,,,0,[],47.577
flight_easy_03,claude-sonnet-4.5,1,easy,flight,12,18,True,11.0,,0,[],35.258
flight_easy_04,claude-sonnet-4.5,1,easy,flight,15,18,True,10.0,,0,[],48.926
medium_01,claude-sonnet-4.5,1,medium,restaurant,15,20,True,8.0,,0,[],50.639
medium_02,claude-sonnet-4.5,1,medium,restaurant,15,19,True,7.0,14.0,1,"[""PARAM_DRIFT""]",51.447
medium_03,claude-sonnet-4.5,1,medium,restaurant,11,14,True,6.0,,0,[],35.349
medium_04,claude-sonnet-4.5,1,medium,restaurant,15,19,True,7.0,,0,[],54.335
medium_05,claude-sonnet-4.5,1,medium,restaurant,15,18,True,6.0,,0,[],39.258
medium_06,claude-sonnet-4.5,1,medium,restaurant,11,22,True,,,0,[],61.968
flight_medium_01,claude-sonnet-4.5,1,medium,flight,13,16,True,11.0,,0,[],36.279
flight_medium_02,claude-sonnet-4.5,1,medium,flight,11,14,True,10.0,,0,[],32.87
flight_medium_03,claude-sonnet-4.5,1,medium,flight,13,17,True,12.0,,0,[],56.964
flight_medium_04,claude-sonnet-4.5,1,medium,flight,15,22,False,,,0,[],85.314
hard_01,claude-sonnet-4.5,1,hard,restaurant,13,17,True,7.0,,0,[],44.156
hard_02,claude-sonnet-4.5,1,hard,restaurant,15,22,False,,,0,[],62.096
hard_03,claude-sonnet-4.5,1,hard,restaurant,15,19,True,9.0,,0,[],67.785
hard_04,claude-sonnet-4.5,1,hard,restaurant,15,18,True,,,0,[],61.067
hard_05,claude-sonnet-4.5,1,hard,restaurant,14,20,True,,,0,[],67.131
hard_06,claude-sonnet-4.5,1,hard,restaurant,15,19,True,11.0,,0,[],55.482
flight_hard_01,claude-sonnet-4.5,1,hard,flight,15,22,True,11.0,,0,[],60.89
flight_hard_02,claude-sonnet-4.5,1,hard,flight,11,15,True,,,0,[],39.555
flight_hard_03,claude-sonnet-4.5,1,hard,flight,11,15,True,11.0,,0,[],43.082
flight_hard_04,claude-sonnet-4.5,1,hard,flight,14,17,True,11.0,,0,[],55.218
conflict_01,claude-sonnet-4.5,1,conflicting,restaurant,11,14,True,7.0,,0,[],39.176
conflict_02,claude-sonnet-4.5,1,conflicting,restaurant,12,15,True,6.0,,0,[],35.577
conflict_03,claude-sonnet-4.5,1,conflicting,restaurant,13,17,True,7.0,,0,[],50.578
conflict_04,claude-sonnet-4.5,1,conflicting,restaurant,13,16,True,11.0,,0,[],47.714
flight_conflict_01,claude-sonnet-4.5,1,conflicting,flight,11,14,True,,,0,[],40.091
flight_conflict_02,claude-sonnet-4.5,1,conflicting,flight,15,18,True,12.0,,0,[],53.123
flight_conflict_03,claude-sonnet-4.5,1,conflicting,flight,14,22,True,,,0,[],67.167
flight_conflict_04,claude-sonnet-4.5,1,conflicting,flight,15,18,True,9.0,,0,[],51.98
adversarial_01,claude-sonnet-4.5,1,adversarial,restaurant,15,21,True,7.0,,0,[],53.958
adversarial_02,claude-sonnet-4.5,1,adversarial,restaurant,13,19,True,7.0,,0,[],51.424
adversarial_03,claude-sonnet-4.5,1,adversarial,restaurant,11,15,True,7.0,,0,[],42.543
adversarial_04,claude-sonnet-4.5,1,adversarial,restaurant,11,19,True,7.0,,0,[],41.427
flight_adversarial_01,claude-sonnet-4.5,1,adversarial,flight,11,17,True,,,0,[],44.334
flight_adversarial_02,claude-sonnet-4.5,1,adversarial,flight,15,22,True,13.0,,0,[],44.15
flight_adversarial_03,claude-sonnet-4.5,1,adversarial,flight,14,20,True,,,0,[],47.963
flight_adversarial_04,claude-sonnet-4.5,1,adversarial,flight,14,22,True,10.0,,0,[],48.076
