scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.5,1,easy,restaurant,13,16,True,5.0,,0,[],42.29
easy_02,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,,0,[],37.728
easy_03,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,,0,[],30.551
easy_04,claude-sonnet-4.5,1,easy,restaurant,13,16,True,5.0,,0,[],33.493
easy_05,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,,0,[],38.584
easy_06,claude-sonnet-4.5,1,easy,restaurant,13,16,True,7.0,,0,[],43.096
flight_easy_01,claude-sonnet-4.5,1,easy,flight,13,16,True,10.0,,0,[],39.651
flight_easy_02,claude-sonnet-4.5,1,easy,flight,13,17,True,,,0,[],38.792
flight_easy_03,claude-sonnet-4.5,1,easy,flight,13,17,True,11.0,,0,[],33.369
flight_easy_04,claude-sonnet-4.5,1,easy,flight,13,16,True,10.0,,0,[],42.183
medium_01,claude-sonnet-4.5,1,medium,restaurant,13,17,True,6.0,,0,[],37.68
medium_02,claude-sonnet-4.5,1,medium,restaurant,13,17,True,7.0,,0,[],39.884
medium_03,claude-sonnet-4.5,1,medium,restaurant,13,16,True,6.0,,0,[],40.652
medium_04,claude-sonnet-4.5,1,medium,restaurant,13,17,True,6.0,,0,[],40.77
medium_05,claude-sonnet-4.5,1,medium,restaurant,13,16,True,7.0,,0,[],32.253
medium_06,claude-sonnet-4.5,1,medium,restaurant,13,17,True,,,0,[],38.116
flight_medium_01,claude-sonnet-4.5,1,medium,flight,13,16,True,10.0,,0,[],58.749
flight_medium_02,claude-sonnet-4.5,1,medium,flight,13,16,True,10.0,,0,[],48.334
flight_medium_03,claude-sonnet-4.5,1,medium,flight,13,16,True,12.0,,0,[],65.653
flight_medium_04,claude-sonnet-4.5,1,medium,flight,13,22,False,,,0,[],91.004
hard_01,claude-sonnet-4.5,1,hard,restaurant,13,17,True,6.0,,0,[],41.869
hard_02,claude-sonnet-4.5,1,hard,restaurant,13,17,True,11.0,,0,[],38.783
hard_03,claude-sonnet-4.5,1,hard,restaurant,13,17,True,7.0,,0,[],42.752
hard_04,claude-sonnet-4.5,1,hard,restaurant,13,16,True,,,0,[],37.473
hard_05,claude-sonnet-4.5,1,hard,restaurant,13,17,True,,,0,[],43.769
hard_06,claude-sonnet-4.5,1,hard,restaurant,13,22,True,,,0,[],80.033
flight_hard_01,claude-sonnet-4.5,1,hard,flight,13,16,True,,,0,[],42.856
flight_hard_02,claude-sonnet-4.5,1,hard,flight,13,16,True,,,0,[],40.948
flight_hard_03,claude-sonnet-4.5,1,hard,flight,13,16,True,11.0,,0,[],39.595
flight_hard_04,claude-sonnet-4.5,1,hard,flight,13,22,False,,,0,[],88.244
conflict_01,claude-sonnet-4.5,1,conflicting,restaurant,13,16,True,7.0,,0,[],47.812
conflict_02,claude-sonnet-4.5,1,conflicting,restaurant,13,16,True,6.0,,0,[],46.61
conflict_03,claude-sonnet-4.5,1,conflicting,restaurant,13,17,True,7.0,,0,[],49.442
conflict_04,claude-sonnet-4.5,1,conflicting,restaurant,13,16,True,9.0,,0,[],67.81
flight_conflict_01,claude-sonnet-4.5,1,conflicting,flight,13,16,True,12.0,,0,[],51.235
flight_conflict_02,claude-sonnet-4.5,1,conflicting,flight,13,16,True,,,0,[],40.606
flight_conflict_03,claude-sonnet-4.5,1,conflicting,flight,13,16,True,,,0,[],36.385
flight_conflict_04,claude-sonnet-4.5,1,conflicting,flight,13,16,True,,,0,[],43.745
adversarial_01,claude-sonnet-4.5,1,adversarial,restaurant,13,19,True,7.0,,0,[],43.014
adversarial_02,claude-sonnet-4.5,1,adversarial,restaurant,13,19,True,7.0,,0,[],58.037
adversarial_03,claude-sonnet-4.5,1,adversarial,restaurant,13,17,True,7.0,,0,[],42.694
adversarial_04,claude-sonnet-4.5,1,adversarial,restaurant,13,19,True,7.0,,0,[],52.391
flight_adversarial_01,claude-sonnet-4.5,1,adversarial,flight,13,19,True,10.0,,0,[],43.691
flight_adversarial_02,claude-sonnet-4.5,1,adversarial,flight,13,20,True,10.0,,0,[],43.595
flight_adversarial_03,claude-sonnet-4.5,1,adversarial,flight,13,19,True,,,0,[],39.932
flight_adversarial_04,claude-sonnet-4.5,1,adversarial,flight,13,20,True,10.0,,0,[],43.221
