scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],49.303
easy_02,claude-sonnet-4.6,1,easy,restaurant,13,16,True,7.0,,0,[],69.737
easy_03,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],47.773
easy_04,claude-sonnet-4.6,1,easy,restaurant,13,16,True,5.0,,0,[],53.136
easy_05,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],43.586
easy_06,claude-sonnet-4.6,1,easy,restaurant,13,16,True,7.0,,0,[],49.652
flight_easy_01,claude-sonnet-4.6,1,easy,flight,13,16,True,11.0,,0,[],42.608
flight_easy_02,claude-sonnet-4.6,1,easy,flight,13,17,True,10.0,,0,[],44.045
flight_easy_03,claude-sonnet-4.6,1,easy,flight,13,18,True,12.0,,0,[],46.199
flight_easy_04,claude-sonnet-4.6,1,easy,flight,13,16,True,10.0,,0,[],44.252
medium_01,claude-sonnet-4.6,1,medium,restaurant,13,17,True,9.0,,0,[],57.544
medium_02,claude-sonnet-4.6,1,medium,restaurant,13,18,True,7.0,10.0,1,"[""PARAM_DRIFT""]",51.986
medium_03,claude-sonnet-4.6,1,medium,restaurant,13,16,True,7.0,,0,[],56.422
medium_04,claude-sonnet-4.6,1,medium,restaurant,13,17,True,6.0,,0,[],42.088
medium_05,claude-sonnet-4.6,1,medium,restaurant,13,16,True,11.0,,0,[],47.134
medium_06,claude-sonnet-4.6,1,medium,restaurant,13,17,True,10.0,,0,[],74.285
flight_medium_01,claude-sonnet-4.6,1,medium,flight,13,16,True,11.0,,0,[],42.115
flight_medium_02,claude-sonnet-4.6,1,medium,flight,13,16,True,11.0,,0,[],47.794
flight_medium_03,claude-sonnet-4.6,1,medium,flight,13,16,True,,,0,[],46.442
flight_medium_04,claude-sonnet-4.6,1,medium,flight,13,22,False,,,0,[],77.056
hard_01,claude-sonnet-4.6,1,hard,restaurant,13,17,True,7.0,,0,[],47.197
hard_02,claude-sonnet-4.6,1,hard,restaurant,13,17,True,9.0,,0,[],65.29
hard_03,claude-sonnet-4.6,1,hard,restaurant,13,17,True,7.0,,0,[],50.879
hard_04,claude-sonnet-4.6,1,hard,restaurant,13,16,True,,,0,[],62.536
hard_05,claude-sonnet-4.6,1,hard,restaurant,13,17,True,,,0,[],69.913
hard_06,claude-sonnet-4.6,1,hard,restaurant,13,17,True,,,0,[],75.467
flight_hard_01,claude-sonnet-4.6,1,hard,flight,13,18,True,,,0,[],79.136
flight_hard_02,claude-sonnet-4.6,1,hard,flight,13,17,True,12.0,16.0,1,"[""MEMORY_COLLAPSE""]",84.948
flight_hard_03,claude-sonnet-4.6,1,hard,flight,13,16,True,10.0,,0,[],59.248
flight_hard_04,claude-sonnet-4.6,1,hard,flight,13,22,False,,,0,[],88.344
conflict_01,claude-sonnet-4.6,1,conflicting,restaurant,13,16,True,6.0,,0,[],56.118
conflict_02,claude-sonnet-4.6,1,conflicting,restaurant,13,16,True,6.0,,0,[],62.156
conflict_03,claude-sonnet-4.6,1,conflicting,restaurant,13,17,True,6.0,,0,[],98.078
conflict_04,claude-sonnet-4.6,1,conflicting,restaurant,13,16,True,10.0,,0,[],47.379
flight_conflict_01,claude-sonnet-4.6,1,conflicting,flight,13,16,True,11.0,,0,[],51.965
flight_conflict_02,claude-sonnet-4.6,1,conflicting,flight,13,16,True,11.0,,0,[],56.444
flight_conflict_03,claude-sonnet-4.6,1,conflicting,flight,13,16,True,12.0,,0,[],46.471
flight_conflict_04,claude-sonnet-4.6,1,conflicting,flight,13,22,True,10.0,,0,[],62.966
adversarial_01,claude-sonnet-4.6,1,adversarial,restaurant,13,19,True,6.0,,0,[],52.49
adversarial_02,claude-sonnet-4.6,1,adversarial,restaurant,13,19,True,7.0,,0,[],43.908
adversarial_03,claude-sonnet-4.6,1,adversarial,restaurant,13,17,True,6.0,,0,[],53.652
adversarial_04,claude-sonnet-4.6,1,adversarial,restaurant,13,19,True,6.0,,0,[],53.514
flight_adversarial_01,claude-sonnet-4.6,1,adversarial,flight,13,19,True,10.0,,0,[],56.927
flight_adversarial_02,claude-sonnet-4.6,1,adversarial,flight,13,20,True,11.0,,0,[],67.374
flight_adversarial_03,claude-sonnet-4.6,1,adversarial,flight,13,19,True,10.0,,0,[],51.438
flight_adversarial_04,claude-sonnet-4.6,1,adversarial,flight,13,20,True,12.0,,0,[],53.792
