scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemini-3.5-flash,1,easy,restaurant,12,15,True,8.0,,0,[],23.352
easy_02,gemini-3.5-flash,1,easy,restaurant,12,15,True,7.0,,0,[],24.721
easy_03,gemini-3.5-flash,1,easy,restaurant,12,15,True,7.0,,0,[],21.546
easy_04,gemini-3.5-flash,1,easy,restaurant,11,22,False,,,0,[],33.457
easy_05,gemini-3.5-flash,1,easy,restaurant,15,18,True,7.0,,0,[],28.249
easy_06,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,,0,[],30.463
flight_easy_01,gemini-3.5-flash,1,easy,flight,14,17,True,11.0,,0,[],24.846
flight_easy_02,gemini-3.5-flash,1,easy,flight,14,18,True,11.0,,0,[],26.871
flight_easy_03,gemini-3.5-flash,1,easy,flight,12,16,True,11.0,,0,[],21.745
flight_easy_04,gemini-3.5-flash,1,easy,flight,15,18,True,11.0,,0,[],26.716
medium_01,gemini-3.5-flash,1,medium,restaurant,15,19,True,7.0,,0,[],35.447
medium_02,gemini-3.5-flash,1,medium,restaurant,15,19,True,6.0,,0,[],37.366
medium_03,gemini-3.5-flash,1,medium,restaurant,11,14,True,7.0,,0,[],21.705
medium_04,gemini-3.5-flash,1,medium,restaurant,15,19,True,6.0,,0,[],33.285
medium_05,gemini-3.5-flash,1,medium,restaurant,15,18,True,8.0,,0,[],31.267
medium_06,gemini-3.5-flash,1,medium,restaurant,11,16,True,6.0,,0,[],25.224
flight_medium_01,gemini-3.5-flash,1,medium,flight,13,16,True,12.0,,0,[],22.406
flight_medium_02,gemini-3.5-flash,1,medium,flight,11,14,True,10.0,,0,[],20.42
flight_medium_03,gemini-3.5-flash,1,medium,flight,13,17,True,12.0,,0,[],28.83
flight_medium_04,gemini-3.5-flash,1,medium,flight,15,22,False,,,0,[],38.218
hard_01,gemini-3.5-flash,1,hard,restaurant,13,17,True,,,0,[],26.906
hard_02,gemini-3.5-flash,1,hard,restaurant,15,19,True,10.0,,0,[],29.582
hard_03,gemini-3.5-flash,1,hard,restaurant,15,19,True,7.0,,0,[],29.758
hard_04,gemini-3.5-flash,1,hard,restaurant,15,18,True,10.0,,0,[],30.59
hard_05,gemini-3.5-flash,1,hard,restaurant,14,18,True,10.0,,0,[],27.759
hard_06,gemini-3.5-flash,1,hard,restaurant,15,19,True,7.0,,0,[],32.841
flight_hard_01,gemini-3.5-flash,1,hard,flight,15,22,True,10.0,,0,[],44.147
flight_hard_02,gemini-3.5-flash,1,hard,flight,11,19,True,10.0,,0,[],36.974
flight_hard_03,gemini-3.5-flash,1,hard,flight,11,15,True,10.0,,0,[],21.636
flight_hard_04,gemini-3.5-flash,1,hard,flight,14,22,False,,,0,[],37.348
conflict_01,gemini-3.5-flash,1,conflicting,restaurant,11,14,True,7.0,,0,[],22.135
conflict_02,gemini-3.5-flash,1,conflicting,restaurant,12,15,True,8.0,,0,[],25.942
conflict_03,gemini-3.5-flash,1,conflicting,restaurant,13,17,True,7.0,,0,[],28.093
conflict_04,gemini-3.5-flash,1,conflicting,restaurant,13,16,True,8.0,10.0,1,"[""PARAM_DRIFT""]",28.088
flight_conflict_01,gemini-3.5-flash,1,conflicting,flight,11,14,True,,,0,[],19.471
flight_conflict_02,gemini-3.5-flash,1,conflicting,flight,15,18,True,13.0,,0,[],28.923
flight_conflict_03,gemini-3.5-flash,1,conflicting,flight,14,17,True,,,0,[],25.114
flight_conflict_04,gemini-3.5-flash,1,conflicting,flight,15,18,True,10.0,,0,[],27.728
adversarial_01,gemini-3.5-flash,1,adversarial,restaurant,15,21,True,6.0,,0,[],32.128
adversarial_02,gemini-3.5-flash,1,adversarial,restaurant,13,19,True,7.0,,0,[],31.095
adversarial_03,gemini-3.5-flash,1,adversarial,restaurant,11,15,True,7.0,,0,[],20.526
adversarial_04,gemini-3.5-flash,1,adversarial,restaurant,11,18,True,7.0,,0,[],29.453
flight_adversarial_01,gemini-3.5-flash,1,adversarial,flight,11,17,True,10.0,,0,[],26.536
flight_adversarial_02,gemini-3.5-flash,1,adversarial,flight,15,22,True,10.0,,0,[],30.766
flight_adversarial_03,gemini-3.5-flash,1,adversarial,flight,14,20,True,12.0,,0,[],28.415
flight_adversarial_04,gemini-3.5-flash,1,adversarial,flight,14,21,True,10.0,,0,[],28.983
