scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
medium_01,claude-sonnet-4.6,1,medium,restaurant,13,17,True,,,0,[],62.162
medium_01,claude-sonnet-4.6,2,medium,restaurant,13,17,True,,,0,[],50.115
medium_01,claude-sonnet-4.6,3,medium,restaurant,13,17,True,10.0,,0,[],58.453
medium_02,claude-sonnet-4.6,1,medium,restaurant,13,18,True,7.0,,0,[],55.491
medium_02,claude-sonnet-4.6,2,medium,restaurant,13,19,True,7.0,,0,[],63.243
medium_02,claude-sonnet-4.6,3,medium,restaurant,13,17,True,7.0,,0,[],52.948
medium_03,claude-sonnet-4.6,1,medium,restaurant,13,16,True,8.0,,0,[],46.046
medium_03,claude-sonnet-4.6,2,medium,restaurant,13,16,True,9.0,,0,[],39.421
medium_03,claude-sonnet-4.6,3,medium,restaurant,13,16,True,8.0,,0,[],43.168
medium_04,claude-sonnet-4.6,1,medium,restaurant,13,17,True,7.0,,0,[],49.908
medium_04,claude-sonnet-4.6,2,medium,restaurant,13,17,True,7.0,,0,[],49.755
medium_04,claude-sonnet-4.6,3,medium,restaurant,13,17,True,6.0,,0,[],51.466
medium_05,claude-sonnet-4.6,1,medium,restaurant,13,16,True,9.0,,0,[],46.804
medium_05,claude-sonnet-4.6,2,medium,restaurant,13,16,True,9.0,,0,[],50.119
medium_05,claude-sonnet-4.6,3,medium,restaurant,13,16,True,,,0,[],55.303
medium_06,claude-sonnet-4.6,1,medium,restaurant,13,17,True,12.0,,0,[],64.003
medium_06,claude-sonnet-4.6,2,medium,restaurant,13,17,True,12.0,,0,[],59.814
medium_06,claude-sonnet-4.6,3,medium,restaurant,13,17,True,12.0,,0,[],58.524
flight_medium_01,claude-sonnet-4.6,1,medium,flight,13,16,True,10.0,,0,[],45.996
flight_medium_01,claude-sonnet-4.6,2,medium,flight,13,16,True,10.0,,0,[],49.235
flight_medium_01,claude-sonnet-4.6,3,medium,flight,13,17,True,12.0,,0,[],51.628
flight_medium_02,claude-sonnet-4.6,1,medium,flight,13,16,True,,,0,[],49.936
flight_medium_02,claude-sonnet-4.6,2,medium,flight,13,16,True,10.0,,0,[],46.449
flight_medium_02,claude-sonnet-4.6,3,medium,flight,13,16,True,11.0,,0,[],51.74
flight_medium_03,claude-sonnet-4.6,1,medium,flight,13,16,True,11.0,,0,[],92.304
flight_medium_03,claude-sonnet-4.6,2,medium,flight,13,16,True,12.0,,0,[],87.475
flight_medium_03,claude-sonnet-4.6,3,medium,flight,13,16,True,11.0,,0,[],89.136
flight_medium_04,claude-sonnet-4.6,1,medium,flight,13,22,False,,,0,[],70.325
flight_medium_04,claude-sonnet-4.6,2,medium,flight,13,22,False,,,0,[],68.943
flight_medium_04,claude-sonnet-4.6,3,medium,flight,13,22,False,,,0,[],76.261
