turn_idx,hallucination_rate,param_accuracy_mean,consistency_score_mean,tool_credit_mean,n,post_pivot_frac,context_tokens_mean
1,0.0,0.025833333333333333,0.0,0.0,138,0.0,304.8333333333333
2,0.0,0.15736231884057972,0.0,0.0,138,0.0,331.6231884057971
3,0.0,0.2882536231884058,0.0,0.0,138,0.0,361.34057971014494
4,0.0,0.36894202898550726,0.0,0.0,138,0.0,396.6811594202899
5,0.0,0.41984782608695653,0.0,0.06739130434782609,138,0.0,433.71014492753625
6,0.0,0.4865579710144927,0.0,0.8660869565217391,138,0.0,481.3768115942029
7,0.0,0.5372536231884059,0.0,0.937391304347826,138,0.0,565.0072463768116
8,0.0,0.5324130434782609,0.0,0.7649999999999999,138,0.0,654.4057971014493
9,0.0,0.5322101449275363,0.0,0.6968115942028985,138,0.0,746.5434782608696
10,0.0,0.610268115942029,0.0,1.3676086956521738,138,0.0,877.4057971014493
11,0.0,0.7116376811594203,0.0,1.5139855072463768,138,0.0,1026.5
12,0.0,0.7414782608695653,0.0,0.7315942028985507,138,0.0,1167.8985507246377
13,0.0,0.8904347826086956,0.0,4.253333333333334,138,1.0,1367.3188405797102
14,0.0,0.650963768115942,0.0,0.05557971014492753,138,1.0,1523.2753623188405
15,0.0,0.21957971014492753,0.0,0.13007246376811593,138,1.0,1554.9420289855072
16,0.0,0.16340579710144928,0.0,0.06398550724637682,138,1.0,1594.4347826086957
17,0.0,0.12980281690140846,0.0,0.05394366197183099,71,1.0,1644.7042253521126
18,0.0,0.15929032258064516,0.0,0.0,31,1.0,1680.774193548387
19,0.0,0.1396896551724138,0.0,0.0,29,1.0,1717.2758620689656
