scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,,0,[],22.096
easy_01,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,,0,[],21.776
easy_01,gemini-3.5-flash,3,easy,restaurant,13,16,True,7.0,,0,[],22.319
easy_02,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,,0,[],20.896
easy_02,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,,0,[],23.641
easy_02,gemini-3.5-flash,3,easy,restaurant,13,16,True,6.0,,0,[],23.538
easy_03,gemini-3.5-flash,1,easy,restaurant,13,16,True,7.0,,0,[],25.14
easy_03,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,,0,[],26.48
easy_03,gemini-3.5-flash,3,easy,restaurant,13,16,True,6.0,,0,[],22.743
easy_04,gemini-3.5-flash,1,easy,restaurant,13,16,True,8.0,,0,[],27.566
easy_04,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,,0,[],26.917
easy_04,gemini-3.5-flash,3,easy,restaurant,13,16,True,7.0,,0,[],24.904
easy_05,gemini-3.5-flash,1,easy,restaurant,13,16,True,8.0,,0,[],24.897
easy_05,gemini-3.5-flash,2,easy,restaurant,13,16,True,6.0,,0,[],23.984
easy_05,gemini-3.5-flash,3,easy,restaurant,13,16,True,5.0,,0,[],23.183
easy_06,gemini-3.5-flash,1,easy,restaurant,13,16,True,6.0,,0,[],30.554
easy_06,gemini-3.5-flash,2,easy,restaurant,13,16,True,5.0,,0,[],37.621
easy_06,gemini-3.5-flash,3,easy,restaurant,13,22,False,,,0,[],35.134
flight_easy_01,gemini-3.5-flash,1,easy,flight,13,16,True,,,0,[],22.643
flight_easy_01,gemini-3.5-flash,2,easy,flight,13,16,True,11.0,,0,[],22.75
flight_easy_01,gemini-3.5-flash,3,easy,flight,13,16,True,11.0,,0,[],23.342
flight_easy_02,gemini-3.5-flash,1,easy,flight,13,17,True,11.0,,0,[],25.149
flight_easy_02,gemini-3.5-flash,2,easy,flight,13,17,True,11.0,,0,[],22.408
flight_easy_02,gemini-3.5-flash,3,easy,flight,13,17,True,12.0,,0,[],24.5
flight_easy_03,gemini-3.5-flash,1,easy,flight,13,17,True,11.0,,0,[],21.505
flight_easy_03,gemini-3.5-flash,2,easy,flight,13,17,True,11.0,,0,[],23.537
flight_easy_03,gemini-3.5-flash,3,easy,flight,13,17,True,12.0,,0,[],26.465
flight_easy_04,gemini-3.5-flash,1,easy,flight,13,16,True,,,0,[],22.296
flight_easy_04,gemini-3.5-flash,2,easy,flight,13,16,True,11.0,,0,[],23.041
flight_easy_04,gemini-3.5-flash,3,easy,flight,13,16,True,11.0,,0,[],23.499
medium_01,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,,0,[],25.875
medium_01,gemini-3.5-flash,2,medium,restaurant,13,17,True,8.0,,0,[],28.759
medium_01,gemini-3.5-flash,3,medium,restaurant,13,17,True,7.0,,0,[],29.719
medium_02,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,,0,[],24.48
medium_02,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],31.535
medium_02,gemini-3.5-flash,3,medium,restaurant,13,17,True,7.0,,0,[],26.498
medium_03,gemini-3.5-flash,1,medium,restaurant,13,16,True,7.0,,0,[],23.748
medium_03,gemini-3.5-flash,2,medium,restaurant,13,16,True,7.0,,0,[],23.57
medium_03,gemini-3.5-flash,3,medium,restaurant,13,16,True,6.0,,0,[],27.243
medium_04,gemini-3.5-flash,1,medium,restaurant,13,17,True,6.0,,0,[],27.99
medium_04,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],30.166
medium_04,gemini-3.5-flash,3,medium,restaurant,13,17,True,6.0,,0,[],29.257
medium_05,gemini-3.5-flash,1,medium,restaurant,13,16,True,8.0,,0,[],26.083
medium_05,gemini-3.5-flash,2,medium,restaurant,13,16,True,8.0,,0,[],25.404
medium_05,gemini-3.5-flash,3,medium,restaurant,13,16,True,8.0,,0,[],26.37
medium_06,gemini-3.5-flash,1,medium,restaurant,13,17,True,7.0,,0,[],26.039
medium_06,gemini-3.5-flash,2,medium,restaurant,13,17,True,7.0,,0,[],24.57
medium_06,gemini-3.5-flash,3,medium,restaurant,13,17,True,7.0,,0,[],27.505
flight_medium_01,gemini-3.5-flash,1,medium,flight,13,16,True,12.0,,0,[],23.897
flight_medium_01,gemini-3.5-flash,2,medium,flight,13,16,True,11.0,,0,[],25.675
flight_medium_01,gemini-3.5-flash,3,medium,flight,13,16,True,12.0,,0,[],22.042
flight_medium_02,gemini-3.5-flash,1,medium,flight,13,16,True,11.0,,0,[],24.214
flight_medium_02,gemini-3.5-flash,2,medium,flight,13,16,True,11.0,,0,[],22.277
flight_medium_02,gemini-3.5-flash,3,medium,flight,13,16,True,11.0,,0,[],23.444
flight_medium_03,gemini-3.5-flash,1,medium,flight,13,17,True,11.0,,0,[],26.495
flight_medium_03,gemini-3.5-flash,2,medium,flight,13,18,True,12.0,,0,[],30.627
flight_medium_03,gemini-3.5-flash,3,medium,flight,13,16,True,12.0,,0,[],27.262
flight_medium_04,gemini-3.5-flash,1,medium,flight,13,18,True,,,0,[],30.584
flight_medium_04,gemini-3.5-flash,2,medium,flight,13,16,True,12.0,,0,[],29.834
flight_medium_04,gemini-3.5-flash,3,medium,flight,13,22,False,,,0,[],35.387
hard_01,gemini-3.5-flash,1,hard,restaurant,13,17,True,6.0,,0,[],29.693
hard_01,gemini-3.5-flash,2,hard,restaurant,13,17,True,7.0,,0,[],29.506
hard_01,gemini-3.5-flash,3,hard,restaurant,13,17,True,6.0,,0,[],28.615
hard_02,gemini-3.5-flash,1,hard,restaurant,13,17,True,11.0,,0,[],27.318
hard_02,gemini-3.5-flash,2,hard,restaurant,13,17,True,12.0,,0,[],26.444
hard_02,gemini-3.5-flash,3,hard,restaurant,13,17,True,10.0,,0,[],26.504
hard_03,gemini-3.5-flash,1,hard,restaurant,13,17,True,7.0,,0,[],25.645
hard_03,gemini-3.5-flash,2,hard,restaurant,13,17,True,7.0,,0,[],26.304
hard_03,gemini-3.5-flash,3,hard,restaurant,13,17,True,7.0,,0,[],27.281
hard_04,gemini-3.5-flash,1,hard,restaurant,13,16,True,8.0,,0,[],27.628
hard_04,gemini-3.5-flash,2,hard,restaurant,13,16,True,8.0,,0,[],25.095
hard_04,gemini-3.5-flash,3,hard,restaurant,13,16,True,7.0,,0,[],27.51
hard_05,gemini-3.5-flash,1,hard,restaurant,13,17,True,,,0,[],25.951
hard_05,gemini-3.5-flash,2,hard,restaurant,13,17,True,12.0,,0,[],27.472
hard_05,gemini-3.5-flash,3,hard,restaurant,13,17,True,,,0,[],26.54
hard_06,gemini-3.5-flash,1,hard,restaurant,13,17,True,9.0,,0,[],28.647
hard_06,gemini-3.5-flash,2,hard,restaurant,13,17,True,9.0,,0,[],27.986
hard_06,gemini-3.5-flash,3,hard,restaurant,13,17,True,7.0,,0,[],28.551
flight_hard_01,gemini-3.5-flash,1,hard,flight,13,16,True,12.0,,0,[],28.43
flight_hard_01,gemini-3.5-flash,2,hard,flight,13,22,True,10.0,,0,[],39.717
flight_hard_01,gemini-3.5-flash,3,hard,flight,13,22,True,10.0,,0,[],40.259
flight_hard_02,gemini-3.5-flash,1,hard,flight,13,20,True,10.0,,0,[],36.08
flight_hard_02,gemini-3.5-flash,2,hard,flight,13,16,True,11.0,,0,[],27.79
flight_hard_02,gemini-3.5-flash,3,hard,flight,13,19,True,10.0,,0,[],36.403
flight_hard_03,gemini-3.5-flash,1,hard,flight,13,16,True,10.0,,0,[],25.373
flight_hard_03,gemini-3.5-flash,2,hard,flight,13,16,True,10.0,,0,[],25.184
flight_hard_03,gemini-3.5-flash,3,hard,flight,13,16,True,10.0,,0,[],24.484
flight_hard_04,gemini-3.5-flash,1,hard,flight,13,16,True,,,0,[],25.765
flight_hard_04,gemini-3.5-flash,2,hard,flight,13,22,False,,,0,[],39.78
flight_hard_04,gemini-3.5-flash,3,hard,flight,13,22,False,,,0,[],38.583
conflict_01,gemini-3.5-flash,1,conflicting,restaurant,13,16,True,7.0,,0,[],26.738
conflict_01,gemini-3.5-flash,2,conflicting,restaurant,13,16,True,6.0,,0,[],26.41
conflict_01,gemini-3.5-flash,3,conflicting,restaurant,13,16,True,7.0,,0,[],26.625
conflict_02,gemini-3.5-flash,1,conflicting,restaurant,13,16,True,6.0,,0,[],29.277
conflict_02,gemini-3.5-flash,2,conflicting,restaurant,13,16,True,6.0,,0,[],26.26
conflict_02,gemini-3.5-flash,3,conflicting,restaurant,13,16,True,7.0,,0,[],27.343
conflict_03,gemini-3.5-flash,1,conflicting,restaurant,13,17,True,6.0,,0,[],29.024
conflict_03,gemini-3.5-flash,2,conflicting,restaurant,13,17,True,6.0,,0,[],28.875
conflict_03,gemini-3.5-flash,3,conflicting,restaurant,13,17,True,7.0,,0,[],31.939
conflict_04,gemini-3.5-flash,1,conflicting,restaurant,13,16,True,8.0,,0,[],27.528
conflict_04,gemini-3.5-flash,2,conflicting,restaurant,13,16,True,8.0,,0,[],26.825
conflict_04,gemini-3.5-flash,3,conflicting,restaurant,13,16,True,6.0,,0,[],26.973
flight_conflict_01,gemini-3.5-flash,1,conflicting,flight,13,16,True,,,0,[],23.186
