turn_idx,hallucination_rate,param_accuracy_mean,consistency_score_mean,tool_credit_mean,n,post_pivot_frac,context_tokens_mean
1,0.0,0.014717391304347826,0.0,0.0,138,0.0,304.1014492753623
2,0.0,0.13683333333333333,0.0,0.0,138,0.0,345.1521739130435
3,0.0,0.3073913043478261,0.0,0.0,138,0.0,394.80434782608694
4,0.0,0.46787681159420297,0.0,0.0,138,0.0,450.60869565217394
5,0.0,0.6392826086956522,0.0,0.027753623188405796,138,0.0,517.268115942029
6,0.0,0.7419420289855073,0.0,0.5559420289855073,138,0.0,603.1014492753624
7,0.007246376811594203,0.7830797101449275,0.0,1.5792028985507247,138,0.0,720.6086956521739
8,0.007246376811594203,0.8050507246376811,0.0,0.35717391304347823,138,0.0,851.8478260869565
9,0.0,0.8261521739130435,0.0,0.533840579710145,138,0.0,974.5869565217391
10,0.0,0.7926739130434782,0.0,1.3444927536231883,138,0.0,1150.3478260869565
11,0.014492753623188406,0.8064347826086956,0.0,1.9405797101449276,138,0.0,1350.5434782608695
12,0.0,0.8466376811594203,0.0,1.1768115942028985,138,0.0,1533.1304347826087
13,0.0,0.9275144927536232,0.0,4.433405797101448,138,1.0,1811.5072463768115
14,0.0,0.4759202898550725,0.0,0.04710144927536232,138,1.0,1945.0942028985507
15,0.0,0.28750000000000003,0.0,0.042898550724637684,138,1.0,1988.3115942028985
16,0.0,0.2599130434782609,0.0,0.010869565217391304,138,1.0,2048.427536231884
17,0.0,0.23515384615384616,0.0,0.0,65,1.0,2135.2615384615383
18,0.0,0.28684615384615386,0.0,0.0,26,1.0,2435.576923076923
19,0.0,0.2682692307692308,0.0,0.0,26,1.0,2520.3846153846152
