scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.6,1,easy,restaurant,13,16,True,5.0,,0,[],52.386
easy_01,claude-sonnet-4.6,2,easy,restaurant,13,16,True,5.0,,0,[],53.093
easy_01,claude-sonnet-4.6,3,easy,restaurant,13,16,True,5.0,,0,[],47.948
easy_02,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],52.075
easy_02,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,,0,[],42.672
easy_02,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,,0,[],42.275
easy_03,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],47.04
easy_03,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,,0,[],58.816
easy_03,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,,0,[],45.018
easy_04,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],37.596
easy_04,claude-sonnet-4.6,2,easy,restaurant,13,16,True,5.0,,0,[],46.221
easy_04,claude-sonnet-4.6,3,easy,restaurant,13,16,True,5.0,,0,[],52.686
easy_05,claude-sonnet-4.6,1,easy,restaurant,13,16,True,6.0,,0,[],91.658
easy_05,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,,0,[],77.619
easy_05,claude-sonnet-4.6,3,easy,restaurant,13,16,True,6.0,,0,[],89.371
easy_06,claude-sonnet-4.6,1,easy,restaurant,13,16,True,7.0,12.0,1,"[""PARAM_DRIFT""]",101.626
easy_06,claude-sonnet-4.6,2,easy,restaurant,13,16,True,6.0,,0,[],90.207
easy_06,claude-sonnet-4.6,3,easy,restaurant,13,16,True,10.0,10.0,2,"[""PARAM_DRIFT"", ""PARAM_DRIFT""]",89.747
flight_easy_01,claude-sonnet-4.6,1,easy,flight,13,16,True,10.0,,0,[],35.534
flight_easy_01,claude-sonnet-4.6,2,easy,flight,13,16,True,10.0,,0,[],39.774
flight_easy_01,claude-sonnet-4.6,3,easy,flight,13,22,False,,,0,[],79.001
flight_easy_02,claude-sonnet-4.6,1,easy,flight,13,17,True,10.0,,0,[],48.101
flight_easy_02,claude-sonnet-4.6,2,easy,flight,13,17,True,11.0,,0,[],43.821
flight_easy_02,claude-sonnet-4.6,3,easy,flight,13,17,True,12.0,,0,[],42.089
flight_easy_03,claude-sonnet-4.6,1,easy,flight,13,17,True,11.0,,0,[],44.947
