scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,claude-sonnet-4.5,1,easy,restaurant,13,16,True,6,,0,[],40.988
flight_easy_01,claude-sonnet-4.5,1,easy,flight,13,16,True,10,,0,[],41.035
medium_03,claude-sonnet-4.5,1,medium,restaurant,13,16,True,6,,0,[],39.976
flight_medium_02,claude-sonnet-4.5,1,medium,flight,13,16,True,10,,0,[],41.873
hard_01,claude-sonnet-4.5,1,hard,restaurant,13,17,True,6,,0,[],38.197
flight_hard_03,claude-sonnet-4.5,1,hard,flight,13,16,True,10,,0,[],38.957
conflict_03,claude-sonnet-4.5,1,conflicting,restaurant,13,17,True,7,,0,[],48.693
flight_conflict_02,claude-sonnet-4.5,1,conflicting,flight,13,16,True,12,,0,[],43.663
adversarial_01,claude-sonnet-4.5,1,adversarial,restaurant,13,19,True,7,,0,[],43.929
flight_adversarial_01,claude-sonnet-4.5,1,adversarial,flight,13,20,True,10,,0,[],53.003
