scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,gemma-3-12b-it,1,easy,restaurant,13,16,True,7,,0,[],14.836
flight_easy_01,gemma-3-12b-it,1,easy,flight,13,16,True,11,,0,[],12.412
medium_03,gemma-3-12b-it,1,medium,restaurant,13,17,True,6,,0,[],17.895
flight_medium_02,gemma-3-12b-it,1,medium,flight,13,16,True,11,,0,[],16.387
hard_01,gemma-3-12b-it,1,hard,restaurant,13,17,True,6,,0,[],16.136
flight_hard_03,gemma-3-12b-it,1,hard,flight,13,17,True,11,,0,[],18.535
conflict_03,gemma-3-12b-it,1,conflicting,restaurant,13,17,True,6,,0,[],17.367
flight_conflict_02,gemma-3-12b-it,1,conflicting,flight,13,16,True,11,,0,[],21.535
adversarial_01,gemma-3-12b-it,1,adversarial,restaurant,13,20,True,6,,0,[],18.152
flight_adversarial_01,gemma-3-12b-it,1,adversarial,flight,13,20,True,11,,0,[],18.902
