scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.1-8b-instruct,1,easy,restaurant,13,19,True,6,,0,[],40.569
flight_easy_01,llama-3.1-8b-instruct,1,easy,flight,13,17,True,10,,0,[],32.619
medium_03,llama-3.1-8b-instruct,1,medium,restaurant,13,19,True,6,,0,[],36.459
flight_medium_02,llama-3.1-8b-instruct,1,medium,flight,13,18,True,10,,0,[],38.799
hard_01,llama-3.1-8b-instruct,1,hard,restaurant,13,19,True,6,,0,[],51.728
flight_hard_03,llama-3.1-8b-instruct,1,hard,flight,13,18,True,10,,0,[],40.454
conflict_03,llama-3.1-8b-instruct,1,conflicting,restaurant,13,18,True,6,,0,[],30.92
flight_conflict_02,llama-3.1-8b-instruct,1,conflicting,flight,13,18,True,11,,0,[],60.991
adversarial_01,llama-3.1-8b-instruct,1,adversarial,restaurant,13,22,True,8,,0,[],65.789
flight_adversarial_01,llama-3.1-8b-instruct,1,adversarial,flight,13,22,True,8,,0,[],97.133
