scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],59.638
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],62.857
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,7.0,,0,[],76.908
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,10.0,,0,[],61.061
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],30.079
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,16,True,12.0,,0,[],80.327
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,17,True,7.0,,0,[],80.335
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,,,0,[],21.17
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],32.0
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,19,True,10.0,,0,[],39.767
