scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,19,True,6.0,,0,[],72.926
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,17,True,10.0,,0,[],71.757
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,19,True,7.0,,0,[],70.233
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,18,True,,,0,[],71.985
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,19,True,7.0,,0,[],61.477
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,18,True,11.0,,0,[],64.643
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,18,True,7.0,,0,[],52.285
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,18,True,,,0,[],46.774
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,22,True,6.0,,0,[],109.82
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,22,True,10.0,,0,[],148.444
