scenario_id,model,run_idx,difficulty,domain,pivot_turn,turns_used,booking_done,early_booking_turn,first_hall_turn,total_hallucinations,hallucination_types,latency_total_s
easy_01,llama-3.3-70b-instruct,1,easy,restaurant,13,16,True,6.0,,0,[],44.146
flight_easy_01,llama-3.3-70b-instruct,1,easy,flight,13,16,True,10.0,,0,[],61.467
medium_03,llama-3.3-70b-instruct,1,medium,restaurant,13,16,True,7.0,,0,[],27.626
flight_medium_02,llama-3.3-70b-instruct,1,medium,flight,13,16,True,,,0,[],47.351
hard_01,llama-3.3-70b-instruct,1,hard,restaurant,13,17,True,7.0,,0,[],32.105
flight_hard_03,llama-3.3-70b-instruct,1,hard,flight,13,16,True,11.0,,0,[],41.65
conflict_03,llama-3.3-70b-instruct,1,conflicting,restaurant,13,17,True,7.0,,0,[],63.846
flight_conflict_02,llama-3.3-70b-instruct,1,conflicting,flight,13,16,True,12.0,,0,[],61.69
adversarial_01,llama-3.3-70b-instruct,1,adversarial,restaurant,13,19,True,7.0,,0,[],28.778
flight_adversarial_01,llama-3.3-70b-instruct,1,adversarial,flight,13,19,True,10.0,,0,[],53.174
